# Program:featureCounts v2.1.1; Command:"featureCounts" "-T" "2" "-p" "-t" "exon" "-g" "gene_id" "-a" "/home/flst8788/Genome-Analysis-1MB462/analysis/03_annotation/braker_chr3_ET/braker.gtf" "-o" "/home/flst8788/Genome-Analysis-1MB462/analysis/04_rnaseq/featurecounts/counts.txt" "/home/flst8788/Genome-Analysis-1MB462/analysis/04_rnaseq/hisat2_rna/Control_1.sorted.bam" "/home/flst8788/Genome-Analysis-1MB462/analysis/04_rnaseq/hisat2_rna/Control_2.sorted.bam" "/home/flst8788/Genome-Analysis-1MB462/analysis/04_rnaseq/hisat2_rna/Control_3.sorted.bam" "/home/flst8788/Genome-Analysis-1MB462/analysis/04_rnaseq/hisat2_rna/Heat_treated_42_12h_1.sorted.bam" "/home/flst8788/Genome-Analysis-1MB462/analysis/04_rnaseq/hisat2_rna/Heat_treated_42_12h_2.sorted.bam" "/home/flst8788/Genome-Analysis-1MB462/analysis/04_rnaseq/hisat2_rna/Heat_treated_42_12h_3.sorted.bam" 
Geneid	Chr	Start	End	Strand	Length	/home/flst8788/Genome-Analysis-1MB462/analysis/04_rnaseq/hisat2_rna/Control_1.sorted.bam	/home/flst8788/Genome-Analysis-1MB462/analysis/04_rnaseq/hisat2_rna/Control_2.sorted.bam	/home/flst8788/Genome-Analysis-1MB462/analysis/04_rnaseq/hisat2_rna/Control_3.sorted.bam	/home/flst8788/Genome-Analysis-1MB462/analysis/04_rnaseq/hisat2_rna/Heat_treated_42_12h_1.sorted.bam	/home/flst8788/Genome-Analysis-1MB462/analysis/04_rnaseq/hisat2_rna/Heat_treated_42_12h_2.sorted.bam	/home/flst8788/Genome-Analysis-1MB462/analysis/04_rnaseq/hisat2_rna/Heat_treated_42_12h_3.sorted.bam
g1312	contig_33_pilon;contig_33_pilon;contig_33_pilon;contig_33_pilon;contig_33_pilon	459339;460493;460824;461223;461430	459428;460576;460916;461307;461587	+;+;+;+;+	510	0	0	4	0	0	0
g1313	contig_33_pilon;contig_33_pilon;contig_33_pilon;contig_33_pilon;contig_33_pilon;contig_33_pilon;contig_33_pilon	462520;462520;462737;462737;463051;463051;463882	462556;462556;462787;462787;463811;463940;463899	+;+;+;+;+;+;+	978	0	0	6	2	2	12
g1314	contig_33_pilon;contig_33_pilon;contig_33_pilon;contig_33_pilon	464411;464692;464891;465198	464509;464767;464955;465362	-;-;-;-	405	0	0	0	0	0	0
g1315	contig_33_pilon;contig_33_pilon;contig_33_pilon	466497;467059;467394	466923;467304;467878	-;-;-	1158	11	20	9	55	39	39
g1316	contig_33_pilon;contig_33_pilon	468607;469255	468763;469361	+;+	264	175	227	278	294	201	210
g1317	contig_33_pilon	471783	472103	-	321	0	0	0	0	0	0
g1318	contig_33_pilon;contig_33_pilon;contig_33_pilon;contig_33_pilon;contig_33_pilon	485529;486706;486825;487063;487600	486014;486730;486914;487493;488067	+;+;+;+;+	1500	835	1043	1289	1363	2185	1014
g1319	contig_33_pilon;contig_33_pilon;contig_33_pilon	491960;492304;493091	492116;492464;493111	-;-;-	339	36	112	61	70	19	102
g1320	contig_33_pilon;contig_33_pilon	493371;493736	493521;493881	+;+	297	13	50	47	103	4	34
g1321	contig_33_pilon	495017	495490	-	474	25	35	34	3	11	25
g1322	contig_33_pilon;contig_33_pilon;contig_33_pilon;contig_33_pilon;contig_33_pilon	499637;500946;501354;501634;502112	499888;501245;501427;502018;502135	-;-;-;-;-	1035	0	0	2	2	0	0
g1323	contig_33_pilon;contig_33_pilon;contig_33_pilon;contig_33_pilon;contig_33_pilon;contig_33_pilon;contig_33_pilon;contig_33_pilon;contig_33_pilon;contig_33_pilon;contig_33_pilon;contig_33_pilon;contig_33_pilon;contig_33_pilon;contig_33_pilon;contig_33_pilon;contig_33_pilon;contig_33_pilon;contig_33_pilon;contig_33_pilon;contig_33_pilon;contig_33_pilon;contig_33_pilon;contig_33_pilon;contig_33_pilon;contig_33_pilon;contig_33_pilon;contig_33_pilon;contig_33_pilon	505846;505846;506164;506164;506363;506363;506636;506636;506807;506807;507164;507164;507328;507328;507822;507822;508071;508071;509284;509284;509488;509488;510083;510424;510424;510657;510657;511092;511092	506103;506103;506250;506250;506535;506535;506681;506681;506887;506887;507261;507261;507357;507357;508011;508011;508868;508868;509373;509373;509588;509588;510139;510470;510470;510730;510730;511451;511451	+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+	2490	5057	5316	6323	2671	1695	2078
g1324	contig_33_pilon;contig_33_pilon;contig_33_pilon;contig_33_pilon;contig_33_pilon;contig_33_pilon	517637;517637;518033;518033;519223;519414	517797;517797;519178;519178;519280;520578	-;-;-;-;-;-	2530	7	12	11	0	2	1
g1325	contig_33_pilon	520790	521035	+	246	0	0	1	0	0	0
g1326	contig_33_pilon	521138	521347	+	210	0	0	0	0	0	0
g1327	contig_33_pilon;contig_33_pilon;contig_33_pilon;contig_33_pilon;contig_33_pilon;contig_33_pilon;contig_33_pilon;contig_33_pilon;contig_33_pilon	526548;526916;527325;527358;527767;527767;527962;529384;529577	526595;527026;527579;527579;527874;527850;527967;529489;529641	-;-;-;-;-;-;-;-;-	699	464	386	455	542	438	815
g1328	contig_33_pilon;contig_33_pilon;contig_33_pilon;contig_33_pilon;contig_33_pilon	534585;534938;535242;535938;536094	534884;535073;535794;535969;536107	+;+;+;+;+	1035	160	257	336	243	95	170
g1329	contig_33_pilon;contig_33_pilon;contig_33_pilon;contig_33_pilon;contig_33_pilon;contig_33_pilon	536161;538984;539167;539633;540795;540979	537893;539089;539579;540453;540862;541083	+;+;+;+;+;+	3246	4637	6184	7762	5037	2760	4932
g1330	contig_33_pilon	539258	539566	-	309	0	0	0	0	0	0
g1331	contig_33_pilon;contig_33_pilon;contig_33_pilon;contig_33_pilon	542712;543037;543398;543566	542751;543110;543469;543628	+;+;+;+	249	0	0	2	2	16	2
g1332	contig_33_pilon	545002	546648	-	1647	56	102	142	24	36	29
g1333	contig_33_pilon;contig_33_pilon;contig_33_pilon;contig_33_pilon;contig_33_pilon;contig_33_pilon;contig_33_pilon;contig_33_pilon;contig_33_pilon;contig_33_pilon;contig_33_pilon;contig_33_pilon;contig_33_pilon;contig_33_pilon;contig_33_pilon;contig_33_pilon;contig_33_pilon;contig_33_pilon;contig_33_pilon;contig_33_pilon;contig_33_pilon;contig_33_pilon;contig_33_pilon;contig_33_pilon;contig_33_pilon;contig_33_pilon;contig_33_pilon;contig_33_pilon;contig_33_pilon;contig_33_pilon;contig_33_pilon;contig_33_pilon;contig_33_pilon;contig_33_pilon;contig_33_pilon;contig_33_pilon;contig_33_pilon;contig_33_pilon;contig_33_pilon;contig_33_pilon;contig_33_pilon;contig_33_pilon;contig_33_pilon;contig_33_pilon;contig_33_pilon	547250;547250;550360;550360;550589;550589;550804;550804;550905;550905;551186;551186;551465;551465;551734;551734;551986;551986;552318;552318;552663;552663;553004;553004;553322;553322;553499;553499;553925;553925;554186;554186;554456;554566;554717;556351;556351;556643;556643;556965;556965;557796;557796;558219;558219	547640;547640;550404;550404;550649;550649;550808;550808;550939;550939;551332;551332;551563;551563;551799;551799;552159;552159;552482;552482;552758;552758;553066;553066;553381;553381;553606;553606;554014;554014;554269;554269;556222;554583;556222;556528;556528;556774;556774;557001;557001;558127;558127;558238;558238	-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-	4155	1480	2159	1383	1784	541	1618
g1334	contig_33_pilon	558783	559046	+	264	0	0	0	0	0	0
g1335	contig_33_pilon;contig_33_pilon;contig_33_pilon;contig_33_pilon;contig_33_pilon;contig_33_pilon;contig_33_pilon;contig_33_pilon;contig_33_pilon;contig_33_pilon;contig_33_pilon;contig_33_pilon;contig_33_pilon;contig_33_pilon;contig_33_pilon	569733;569836;569941;570087;570402;570978;571261;571478;571858;572239;572571;573189;574537;574729;574944	569749;569884;569971;570205;570613;571062;571355;571556;571935;572307;572636;573224;574605;574794;575099	-;-;-;-;-;-;-;-;-;-;-;-;-;-;-	1227	160	306	202	647	378	344
g1336	contig_33_pilon;contig_33_pilon;contig_33_pilon;contig_33_pilon;contig_33_pilon;contig_33_pilon;contig_33_pilon;contig_33_pilon;contig_33_pilon;contig_33_pilon	575140;576300;576497;576845;577262;577436;577593;578522;580194;580372	575393;576305;576599;576997;577289;577472;577716;579886;580299;580643	-;-;-;-;-;-;-;-;-;-	2448	1478	1588	1642	2070	1911	1695
g1337	contig_33_pilon;contig_33_pilon;contig_33_pilon;contig_33_pilon;contig_33_pilon;contig_33_pilon;contig_33_pilon;contig_33_pilon;contig_33_pilon;contig_33_pilon;contig_33_pilon;contig_33_pilon;contig_33_pilon;contig_33_pilon;contig_33_pilon;contig_33_pilon;contig_33_pilon;contig_33_pilon;contig_33_pilon;contig_33_pilon;contig_33_pilon;contig_33_pilon;contig_33_pilon;contig_33_pilon;contig_33_pilon;contig_33_pilon;contig_33_pilon	590223;590779;591358;591582;591878;592211;592603;592864;593135;593544;593803;594048;594377;594769;595193;595473;595841;596242;596743;596980;597236;597694;598157;598339;598627;598838;599272	590351;590945;591430;591683;591982;592358;592715;592914;593272;593657;593914;594137;594594;594885;595310;595621;595924;596317;596810;597032;597289;597880;598240;598465;598702;599061;599459	-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-	3165	688	798	857	393	254	612
g1338	contig_33_pilon;contig_33_pilon;contig_33_pilon	600504;600734;600873	600567;600820;601141	-;-;-	420	1214	8191	4915	3268	3969	2512
g1339	contig_33_pilon;contig_33_pilon;contig_33_pilon;contig_33_pilon;contig_33_pilon;contig_33_pilon;contig_33_pilon	604291;605341;605876;606419;606623;606962;607098	605154;605500;606168;606508;606707;607015;607318	-;-;-;-;-;-;-	1767	2	174	53	0	0	0
g1340	contig_33_pilon;contig_33_pilon;contig_33_pilon	612747;612976;613166	612911;613070;613310	+;+;+	405	5	119	60	10	8	10
g1341	contig_33_pilon;contig_33_pilon;contig_33_pilon;contig_33_pilon;contig_33_pilon;contig_33_pilon;contig_33_pilon	614208;614439;614614;615385;615770;616234;616557	614315;614545;615225;615596;615999;616383;616676	+;+;+;+;+;+;+	1539	1224	1546	2220	2180	1630	2494
g1342	contig_33_pilon	621077	621508	-	432	0	2	7	0	0	0
g1343	contig_33_pilon;contig_33_pilon;contig_33_pilon;contig_33_pilon;contig_33_pilon;contig_33_pilon	629923;630352;630619;631081;631389;633306	629991;630549;630972;631206;631662;634501	+;+;+;+;+;+	2217	2347	12850	12956	2871	2596	3122
g1344	contig_33_pilon;contig_33_pilon;contig_33_pilon;contig_33_pilon;contig_33_pilon;contig_33_pilon;contig_33_pilon;contig_33_pilon	637607;637607;637859;638432;638727;638727;639035;639463	638623;637723;638338;638623;638948;638902;639116;639675	-;-;-;-;-;-;-;-	1534	27	65	36	105	19	65
g1345	contig_33_pilon;contig_33_pilon;contig_33_pilon;contig_33_pilon;contig_33_pilon;contig_33_pilon;contig_33_pilon;contig_33_pilon;contig_33_pilon;contig_33_pilon;contig_33_pilon;contig_33_pilon;contig_33_pilon;contig_33_pilon;contig_33_pilon;contig_33_pilon;contig_33_pilon;contig_33_pilon;contig_33_pilon;contig_33_pilon;contig_33_pilon;contig_33_pilon;contig_33_pilon;contig_33_pilon;contig_33_pilon;contig_33_pilon;contig_33_pilon;contig_33_pilon;contig_33_pilon;contig_33_pilon;contig_33_pilon;contig_33_pilon;contig_33_pilon;contig_33_pilon;contig_33_pilon;contig_33_pilon;contig_33_pilon;contig_33_pilon;contig_33_pilon;contig_33_pilon;contig_33_pilon;contig_33_pilon;contig_33_pilon;contig_33_pilon;contig_33_pilon;contig_33_pilon;contig_33_pilon;contig_33_pilon;contig_33_pilon;contig_33_pilon;contig_33_pilon;contig_33_pilon;contig_33_pilon;contig_33_pilon;contig_33_pilon;contig_33_pilon;contig_33_pilon;contig_33_pilon;contig_33_pilon;contig_33_pilon;contig_33_pilon;contig_33_pilon;contig_33_pilon;contig_33_pilon;contig_33_pilon;contig_33_pilon;contig_33_pilon;contig_33_pilon;contig_33_pilon;contig_33_pilon;contig_33_pilon;contig_33_pilon;contig_33_pilon;contig_33_pilon;contig_33_pilon;contig_33_pilon	640768;640768;640768;642181;642181;642181;642505;642505;642505;642985;642985;642985;643641;643641;643641;643856;643856;643856;644293;644293;644293;644710;644710;644710;645215;645215;645215;645982;645982;645982;646387;646387;646387;647030;647030;647030;647276;647276;647276;647389;647389;647389;647404;647784;647784;647784;647791;648308;648308;648308;648308;648689;648689;648689;648689;649080;649274;649274;649274;649274;649447;649447;649447;649447;649758;649758;649758;649758;650127;650127;650127;650127;651091;651091;651091;651111	640911;640911;640911;642255;642255;642255;642603;642603;642603;643247;643247;643247;643735;643735;643735;643967;643967;643967;644443;644443;644443;644877;644877;644877;645836;645836;645836;646334;646334;646334;646607;646607;646607;647091;647091;647091;647288;647288;647288;647419;647419;647419;647419;648169;648169;648169;648169;648577;648577;648577;648577;649038;649094;649094;649094;649138;649359;649359;649359;649359;649531;649531;649531;649531;649866;649866;649866;649866;650357;650357;650357;650357;651491;651491;651491;651337	-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-	4427	3837	3743	4223	4365	2732	4017
g1346	contig_33_pilon;contig_33_pilon;contig_33_pilon;contig_33_pilon;contig_33_pilon;contig_33_pilon;contig_33_pilon;contig_33_pilon;contig_33_pilon;contig_33_pilon;contig_33_pilon;contig_33_pilon;contig_33_pilon	651925;652321;652577;653072;653658;654020;654471;654793;655363;655607;655926;656390;656783	652143;652440;652765;653197;653801;654253;654537;655076;655478;655667;656162;656560;658186	-;-;-;-;-;-;-;-;-;-;-;-;-	3372	2079	2053	2020	1798	828	2354
g1347	contig_33_pilon	658361	658603	-	243	47	57	49	43	21	60
g1348	contig_33_pilon;contig_33_pilon;contig_33_pilon;contig_33_pilon;contig_33_pilon;contig_33_pilon;contig_33_pilon	658666;660169;660592;661042;661254;664443;664810	659087;660454;660741;661086;661338;664638;664900	-;-;-;-;-;-;-	1275	8	61	31	0	9	6
g1349	contig_33_pilon;contig_33_pilon	664491;665876	664674;666336	+;+	645	0	0	0	0	0	0
g1350	contig_33_pilon	665899	666336	+	438	0	0	0	0	0	0
g1351	contig_33_pilon;contig_33_pilon;contig_33_pilon;contig_33_pilon;contig_33_pilon	667277;667613;667890;668287;668813	667434;667743;667903;668382;668878	-;-;-;-;-	465	155	37	34	44	515	258
g1352	contig_33_pilon;contig_33_pilon	669129;669264	669215;669431	+;+	255	1	1	3	23	0	18
g1353	contig_33_pilon;contig_33_pilon;contig_33_pilon;contig_33_pilon;contig_33_pilon;contig_33_pilon;contig_33_pilon;contig_33_pilon;contig_33_pilon;contig_33_pilon;contig_33_pilon;contig_33_pilon;contig_33_pilon;contig_33_pilon;contig_33_pilon;contig_33_pilon;contig_33_pilon	669451;669935;670161;670395;670749;671208;671579;671909;672224;672732;677639;678202;678504;679072;679072;679672;679672	669676;670010;670257;670497;670879;671391;671742;672127;672571;672989;678156;678271;678659;679239;679239;679869;679869	+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+	2916	485	1006	695	616	373	698
g1354	contig_33_pilon;contig_33_pilon;contig_33_pilon;contig_33_pilon;contig_33_pilon	681522;681676;682117;682443;683243	681573;681743;682140;682564;683579	-;-;-;-;-	603	418	258	245	166	139	164
g1355	contig_33_pilon;contig_33_pilon;contig_33_pilon	684414;685804;686801	685689;686500;687359	-;-;-	2532	0	0	0	0	0	0
g1356	contig_33_pilon;contig_33_pilon	687586;688065	688013;688284	-;-	648	0	0	0	0	0	0
g1357	contig_33_pilon;contig_33_pilon;contig_33_pilon	690976;692437;692663	692393;692556;692858	-;-;-	1734	0	13	7	59	2	150
g1358	contig_33_pilon;contig_33_pilon;contig_33_pilon;contig_33_pilon	695772;695772;696110;696110	695980;695980;696164;696239	-;-;-;-	339	4093	1095	1803	2828	9406	3919
g1359	contig_33_pilon;contig_33_pilon;contig_33_pilon;contig_33_pilon;contig_33_pilon;contig_33_pilon;contig_33_pilon;contig_33_pilon;contig_33_pilon;contig_33_pilon;contig_33_pilon;contig_33_pilon;contig_33_pilon;contig_33_pilon;contig_33_pilon;contig_33_pilon;contig_33_pilon;contig_33_pilon;contig_33_pilon;contig_33_pilon;contig_33_pilon	697309;697387;698395;699304;699396;699807;699807;700568;700568;700912;700912;701363;701363;702053;702053;702555;702555;702941;702941;703366;703366	697321;697772;698518;699590;699590;699934;699934;700718;700718;701115;701115;701790;701790;702245;702245;702650;702650;703099;703099;703527;703527	+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+	2331	5399	4707	5345	3511	5442	3794
g1360	contig_33_pilon;contig_33_pilon;contig_33_pilon;contig_33_pilon;contig_33_pilon;contig_33_pilon;contig_33_pilon;contig_33_pilon;contig_33_pilon;contig_33_pilon;contig_33_pilon;contig_33_pilon;contig_33_pilon;contig_33_pilon;contig_33_pilon;contig_33_pilon	707118;707371;707786;708156;708593;708833;709242;709462;710023;710428;710592;710865;711368;711560;712127;712998	707222;707556;707950;708471;708678;709030;709354;709807;710055;710468;710635;710952;711390;712003;712683;713228	-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-	2976	2602	2195	1863	3557	1494	5354
g1361	contig_33_pilon;contig_33_pilon;contig_33_pilon	713272;713580;713749	713524;713646;713920	+;+;+	492	0	0	0	0	0	4
g1362	contig_33_pilon	715700	715996	+	297	63	26	67	30	34	75
g1363	contig_33_pilon;contig_33_pilon;contig_33_pilon;contig_33_pilon;contig_33_pilon;contig_33_pilon;contig_33_pilon;contig_33_pilon;contig_33_pilon;contig_33_pilon;contig_33_pilon;contig_33_pilon;contig_33_pilon;contig_33_pilon;contig_33_pilon;contig_33_pilon;contig_33_pilon;contig_33_pilon;contig_33_pilon;contig_33_pilon;contig_33_pilon;contig_33_pilon;contig_33_pilon;contig_33_pilon;contig_33_pilon;contig_33_pilon;contig_33_pilon;contig_33_pilon;contig_33_pilon;contig_33_pilon;contig_33_pilon;contig_33_pilon;contig_33_pilon;contig_33_pilon;contig_33_pilon;contig_33_pilon;contig_33_pilon;contig_33_pilon;contig_33_pilon;contig_33_pilon;contig_33_pilon;contig_33_pilon;contig_33_pilon;contig_33_pilon	716111;716111;716486;716486;716718;716718;717420;717420;717667;717667;717900;717900;718143;718143;718347;718347;718708;718708;718985;718985;719255;719255;719481;719481;719925;719925;720077;720077;720294;720294;720573;720573;720858;720858;721154;721154;721627;721627;722012;722018;722563;722563;722889;722889	716233;716233;716584;716584;716869;716869;717492;717492;717789;717789;718008;718008;718222;718222;718428;718428;718847;718847;719095;719095;719371;719371;719570;719570;719978;719978;720151;720151;720369;720369;720672;720672;720927;720927;721230;721230;721721;721721;722323;722323;722775;722775;723232;723232	+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+	2715	3327	2264	2477	3477	2652	4009
g1364	contig_33_pilon;contig_33_pilon;contig_33_pilon;contig_33_pilon;contig_33_pilon;contig_33_pilon;contig_33_pilon;contig_33_pilon;contig_33_pilon;contig_33_pilon;contig_33_pilon	725459;725719;726003;726217;726467;726714;726950;727341;727587;727804;728492	725506;725796;726110;726296;726587;726812;727033;727401;727655;727959;728625	-;-;-;-;-;-;-;-;-;-;-	1038	1552	1828	1454	794	305	1343
g1365	contig_33_pilon;contig_33_pilon;contig_33_pilon;contig_33_pilon;contig_33_pilon	728707;728758;729520;729960;730264	728712;729125;729626;730135;730422	+;+;+;+;+	816	6219	5218	6210	8667	8665	6717
g1366	contig_33_pilon;contig_33_pilon;contig_33_pilon;contig_33_pilon;contig_33_pilon;contig_33_pilon;contig_33_pilon;contig_33_pilon;contig_33_pilon;contig_33_pilon;contig_33_pilon;contig_33_pilon;contig_33_pilon;contig_33_pilon;contig_33_pilon;contig_33_pilon;contig_33_pilon;contig_33_pilon	732984;733409;733630;734050;734429;734844;735091;735335;735654;735819;736108;736286;736592;737003;737432;737749;737969;738106	733067;733496;733733;734232;734538;734996;735175;735426;735710;735929;736163;736382;736620;737147;737529;737837;738009;738298	-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-	1815	1148	612	790	1170	464	1058
g1367	contig_33_pilon;contig_33_pilon;contig_33_pilon;contig_33_pilon;contig_33_pilon;contig_33_pilon;contig_33_pilon	738493;739510;739723;740058;740380;740752;741137	739104;739597;739916;740179;740623;740986;741453	+;+;+;+;+;+;+	1812	275	345	292	1494	832	1268
g1368	contig_33_pilon;contig_33_pilon;contig_33_pilon;contig_33_pilon;contig_33_pilon;contig_33_pilon	741982;742435;742630;745094;745312;745534	742063;742527;744404;745189;745366;745850	-;-;-;-;-;-	2418	309	1644	1180	4597	3590	2187
g1369	contig_33_pilon	745614	745910	+	297	0	0	0	1	0	0
g1370	contig_33_pilon;contig_33_pilon;contig_33_pilon;contig_33_pilon	748703;749330;749453;750234	748736;749394;750148;750389	-;-;-;-	951	166	233	194	392	341	347
g1371	contig_33_pilon;contig_33_pilon;contig_33_pilon	750719;751023;751758	750887;751358;751870	+;+;+	618	611	535	703	507	429	680
g1372	contig_33_pilon;contig_33_pilon;contig_33_pilon;contig_33_pilon;contig_33_pilon;contig_33_pilon;contig_33_pilon;contig_33_pilon;contig_33_pilon;contig_33_pilon;contig_33_pilon;contig_33_pilon;contig_33_pilon;contig_33_pilon;contig_33_pilon;contig_33_pilon;contig_33_pilon;contig_33_pilon;contig_33_pilon;contig_33_pilon;contig_33_pilon;contig_33_pilon;contig_33_pilon;contig_33_pilon;contig_33_pilon;contig_33_pilon;contig_33_pilon;contig_33_pilon;contig_33_pilon;contig_33_pilon;contig_33_pilon;contig_33_pilon;contig_33_pilon;contig_33_pilon;contig_33_pilon;contig_33_pilon;contig_33_pilon;contig_33_pilon;contig_33_pilon;contig_33_pilon;contig_33_pilon;contig_33_pilon;contig_33_pilon;contig_33_pilon;contig_33_pilon;contig_33_pilon;contig_33_pilon;contig_33_pilon;contig_33_pilon;contig_33_pilon;contig_33_pilon;contig_33_pilon;contig_33_pilon;contig_33_pilon;contig_33_pilon;contig_33_pilon;contig_33_pilon;contig_33_pilon;contig_33_pilon;contig_33_pilon	753149;753149;753149;753410;753573;753573;753573;753573;754140;754140;754140;754140;754639;754639;754639;754639;755268;755268;755268;755268;756246;756246;756246;756246;756489;756489;756489;756489;757883;757883;757883;757883;758043;758043;758043;758043;758645;758858;758858;758858;758858;759063;759063;759063;759063;759474;759474;759474;759474;759588;759588;759588;759933;759933;759933;759947;760181;760181;760181;760181	753180;753180;753180;753414;753942;753942;753942;753942;754336;754336;754336;754336;754910;754910;754910;754910;755610;755610;755610;755610;756439;756439;756439;756439;756560;756560;756560;756560;757896;757896;757896;757896;758140;758140;758140;758140;758716;758942;758942;758942;758942;759308;759308;759308;759308;759543;759543;759543;759611;759611;759611;759611;760010;760010;760010;760010;760356;760356;760356;760356	-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-	2392	979	1001	882	1668	1186	1613
g1373	contig_33_pilon;contig_33_pilon	766970;766970	768319;768703	-;-	1734	0	4	0	0	0	0
g1374	contig_33_pilon;contig_33_pilon;contig_33_pilon;contig_33_pilon;contig_33_pilon;contig_33_pilon;contig_33_pilon;contig_33_pilon;contig_33_pilon;contig_33_pilon;contig_33_pilon;contig_33_pilon;contig_33_pilon;contig_33_pilon	779927;780450;781333;781683;782063;782447;782735;783037;783399;783686;784236;784581;784746;785001	780128;781061;781441;781770;782167;782495;782868;783138;783484;783908;784315;784683;784818;785104	-;-;-;-;-;-;-;-;-;-;-;-;-;-	2070	941	921	724	959	839	1407
g1375	contig_33_pilon	785179	785427	+	249	71	95	88	72	39	77
g1376	contig_33_pilon;contig_33_pilon;contig_33_pilon	785675;786747;787382	786400;787102;787580	+;+;+	1281	574	747	818	459	352	881
g1377	contig_33_pilon;contig_33_pilon	789203;789717	789589;789956	+;+	627	4	8	9	19	21	78
g1378	contig_33_pilon;contig_33_pilon;contig_33_pilon;contig_33_pilon	790876;791246;791548;791963	791097;791343;791700;792281	-;-;-;-	792	173	206	188	666	582	747
g1379	contig_33_pilon	792396	793031	+	636	57	81	72	341	258	233
g1380	contig_33_pilon;contig_33_pilon;contig_33_pilon	794245;794605;795811	794436;794702;795925	+;+;+	405	74	226	178	202	113	462
g1381	contig_33_pilon	795991	796329	-	339	54	115	181	268	91	360
g1382	contig_33_pilon;contig_33_pilon	796548;800325	796730;800954	+;+	813	57	81	121	209	104	238
g1383	contig_33_pilon;contig_33_pilon;contig_33_pilon	803515;803788;805640	803733;804026;805955	-;-;-	774	0	14	2	0	0	0
g1384	contig_33_pilon	806050	806868	+	819	0	175	90	0	0	0
g1385	contig_33_pilon;contig_33_pilon	809690;810176	810022;811000	+;+	1158	0	0	0	0	0	0
g1386	contig_33_pilon;contig_33_pilon;contig_33_pilon	811546;812377;813147	811919;812939;813334	-;-;-	1125	18	2	13	2	15	0
g1387	contig_33_pilon;contig_33_pilon	813428;814897	813499;815103	+;+	279	1	0	0	0	11	2
g1388	contig_33_pilon;contig_33_pilon;contig_33_pilon;contig_33_pilon;contig_33_pilon;contig_33_pilon;contig_33_pilon;contig_33_pilon	816095;816465;816767;817182;817525;817746;817836;818309	816316;816562;816919;817471;817532;817785;818122;818338	-;-;-;-;-;-;-;-	1128	389	481	442	1477	1449	916
g1389	contig_33_pilon;contig_33_pilon	819551;821522	820472;821628	-;-	1029	0	0	0	0	0	0
g1390	contig_33_pilon;contig_33_pilon;contig_33_pilon;contig_33_pilon;contig_33_pilon;contig_33_pilon;contig_33_pilon;contig_33_pilon;contig_33_pilon;contig_33_pilon;contig_33_pilon;contig_33_pilon;contig_33_pilon;contig_33_pilon;contig_33_pilon;contig_33_pilon;contig_33_pilon;contig_33_pilon;contig_33_pilon;contig_33_pilon	827224;827856;828899;829383;829848;830271;830908;831496;831768;832018;832446;832871;833266;833601;834114;834334;834813;835076;835740;836075	827595;828056;829060;829470;830087;830438;831116;831579;831887;832204;832606;832942;833342;833795;834186;834420;834950;835278;835905;836206	+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+	3135	2625	1959	2040	2221	1156	2407
g1391	contig_33_pilon;contig_33_pilon;contig_33_pilon;contig_33_pilon	837120;837682;838081;838364	837205;837943;838232;838973	-;-;-;-	1110	9	31	31	46	40	39
g1392	contig_33_pilon;contig_33_pilon	839004;839532	839310;839614	-;-	390	0	0	5	11	2	2
g1393	contig_33_pilon;contig_33_pilon	849193;849193	850233;849630	-;-	1041	379	416	880	25	6	77
g1394	contig_33_pilon;contig_33_pilon;contig_33_pilon	849698;850417;850600	849723;850498;850734	+;+;+	243	0	0	0	0	0	0
g1395	contig_33_pilon;contig_33_pilon	850406;850628	850577;850719	-;-	264	18	16	22	1	0	6
g1396	contig_33_pilon;contig_33_pilon;contig_33_pilon	850842;851384;851904	851052;851667;852671	+;+;+	1263	3017	4297	5751	559	323	788
g1397	contig_33_pilon;contig_33_pilon;contig_33_pilon;contig_33_pilon	858040;858040;858649;858667	858270;858268;858732;858794	+;+;+;+	377	1	2	0	27	4	7
